"Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
75465,-0.558992280090003,0.827251811104843,1.74699516838778,0.879917843559065,-0.118199953359308,-0.0907245931933142,1.38037720480477,-0.334684701646914,-0.26572905519956,-0.346909474992622,0.0159220880844427,0.668673535305465,0.452774874184482,-0.410020446297778,-0.377722727782313,-1.07640689512584,0.307597977158931,-1.09414963014122,-0.408210830580521,-0.0388432851637776,-0.0232508964600397,0.327219628697184,-0.0895723310889005,0.63059364065687,0.138686869858005,-0.42697994471501,-0.157394591937585,-0.189037405177937,100.79,0
76620,1.29534490376235,0.270522972189286,0.314077554894023,0.499626913009705,-0.195986526263572,-0.696687143845679,0.0835027966836111,-0.200520464483113,0.00786460201792346,-0.0788994480270448,-0.58105939627673,0.455317144513593,0.873173459153755,0.115768194873258,1.01663723261729,0.426001484297864,-0.630988669437255,-0.437551566326409,0.0655804285734054,-0.0465774648181513,-0.284665436793566,-0.797689272600559,0.0690827109245922,-0.107027522024707,0.29979703070323,0.123891923680534,-0.0266672201410567,0.0150110901634777,1.98,0
53533,-1.68369618539927,1.53725627043033,1.08377282872235,-0.000946590847662195,-0.965569829552842,-0.467868509495561,0.0980238937462712,0.148125307643777,0.114004314437211,1.37552162003855,1.8057261374637,1.02451170089699,0.77995143648988,-0.0259392002176019,1.24921903107358,-0.275798060660438,0.0472309673427205,0.236822221052786,1.920763360569,0.618109832209043,-0.0762033560992552,0.134596646685898,0.0781273941439851,0.607929774091226,-0.573145507477049,1.02604164458464,-0.0636867399842677,0.188629746997918,33,0
57829,-0.338607991333119,1.19886282135471,1.30997332230245,0.0519260700053305,0.105220109017593,-0.956318324031771,0.777874299452013,-0.124537285211834,-0.531239700683,-0.538847053879689,-0.0627703145112787,0.39608982097134,1.0162482436812,-0.608319040749269,0.795608586795055,0.342057122823937,-0.0447361872016966,-0.247037147917676,-0.0954683899154172,0.171856672794336,-0.253705405987295,-0.616420401183369,-0.0254567241209789,0.353217662430425,-0.129471824458517,0.0691665292698282,0.251420469584118,0.100139479207677,3.87,0
121936,2.29579342141576,-1.66823700962158,-1.16996444667831,-1.86037579924673,-1.02293625460733,0.237807978824294,-1.49025840399877,0.136727647660897,-0.930216036376984,1.76372488741862,-0.808985217623587,-1.45791599779292,-1.17403743015224,-0.0667354419658077,-0.427867759286609,0.181729550953946,-0.148327955939493,1.08376969287281,0.523634654896208,-0.476796830177008,-0.189186433605539,-0.147931534706621,0.0940284015654362,-1.51353448147685,-0.210413420079446,-0.100607080958771,0.0101062052988486,-0.0706018275380904,28.8,0
132080,-0.457344141761871,0.842009995503014,0.184897510056271,-0.578318811533471,0.828571819382058,-0.20920732758766,0.731696446484563,0.125563326547043,-0.0317363090698901,-0.970930865495117,0.527590358239164,-0.411080274954739,-1.98190506710643,-0.78744286615971,-1.31042702387378,0.126331278864025,0.653375350942652,0.744970613725855,0.120388283298441,-0.207221380626188,0.128882719296994,0.408653698929322,-0.311330350680025,0.63723135370437,-0.124165561479558,0.546845786573615,-0.0453355739225829,0.152037194916585,5.93,0
136606,-0.219543155303844,0.418554210027055,-0.699747951651627,-0.499053784637901,1.4478992732525,-0.684943882695917,1.29041148398309,-0.324176259710424,-0.168927561964143,-0.4361037279224,-2.0053327689,-0.372739740456047,-0.137019885583174,0.226919809446051,-0.736220998191478,-0.295199761335587,-0.545901789890782,-0.396060650928504,0.297845664854723,-0.235077454136953,-0.0203403607094923,0.128227786454218,-0.0137461979629923,-1.02541048415242,0.149962724082028,0.372657421506833,-0.0992103786639989,-0.0139379320933238,29.69,0
120206,2.34348494102705,-1.38198790107837,-1.47403429991521,-1.93636435389169,-0.524679310900899,0.259187442872881,-1.15694733087264,-0.00829278899574033,-1.44769440061156,1.74246021237785,-0.266042554826264,-0.438693853773,0.611872535864005,-0.288679216449049,-0.811461617785169,-0.0991164799327814,-0.145336886676663,0.714857275439821,0.573811485586855,-0.365292617349442,-0.192648945539269,-0.0886992696490737,0.118831854182041,-0.365832741832994,-0.0324579047211536,-0.148019846149513,-0.000665248464806451,-0.0651731898052311,15,0
135855,-1.79988690293223,-0.607098130580808,0.747089689849856,-0.0159749950938507,-0.249021471095453,-0.0839668190073336,0.0923729330197098,0.66624249854068,0.0427854529242777,-0.835512112117956,0.327490083740936,0.554345962280003,-0.169362028832002,0.596672210786857,0.637716497572296,0.193652844539424,-0.519614053668255,1.33807442022567,0.724899407210168,0.742319159836125,0.524455944934375,0.893714420594078,0.169474753225334,-0.410515779450083,0.134923654390115,-0.40153866128972,0.254928931706784,-0.00160615714194427,214,0
79806,-1.61889280125492,2.14481595102551,0.936231437966373,2.52627221265492,-0.347069154427797,0.943261415061034,-0.456381564131543,1.37046093721283,-1.5515694983139,1.11742688429771,1.29053658828355,0.34720211387668,-0.660488254733001,1.16826329265742,1.12827045517117,-0.134851820475887,0.655171741620014,-0.374408627831236,0.352055683809219,0.196983153409365,-0.0742652238990139,-0.264369758325262,0.192436443522663,-0.361652958579046,-0.465165763419098,0.0186308851150465,0.368808477128505,0.176708677331802,7,0
